task,variant,mse,spectral_loss,phase_error,frequency_recovery_error,loss_drop_percent,throughput_samples_per_second
sine_mixture,slwm,0.6388819987752926,12.159880824171438,0.3693513216638743,0.75,91.06581254922254,6885.092991493389
sine_mixture,slwm_no_spectral,0.7434582130310718,10.936414606586565,0.769306751201736,1.25,83.06110053649238,7658.199736957632
sine_mixture,vanilla_transformer,0.8237724485723558,14.524959888680018,0.7819087866764284,0.75,64.03758146534638,6031.634569923165
sine_mixture,random_signal,1.9739867619578495,26.751964055496106,1.6642026533142178,5.375,,
sine_mixture,noop_signal,2.326805086186567,8.946550284127469e-30,1.8311412211174298,0.0,,
chirp_extrapolation,slwm,0.42504355775142777,4.384597727152951,0.6401052029551452,0.375,94.1881551799426,6954.573043421302
chirp_extrapolation,slwm_no_spectral,0.6054446201008593,5.98679285857699,0.8315977063157791,0.625,88.1905146554917,7773.216411544539
chirp_extrapolation,vanilla_transformer,0.6373081852475622,8.974739331868609,0.9066399143340224,0.5,54.938624675030844,6114.26023951572
chirp_extrapolation,random_signal,1.8975621502940874,19.215452018984326,1.4789846335937131,4.75,,
chirp_extrapolation,noop_signal,3.11040985372956,2.7497226282230396,2.1760179372063986,0.5,,
phase_shift_detection,slwm,0.7645950964638581,14.003960016564083,0.6420690845615395,1.0,85.15331447407867,6704.93283651688
phase_shift_detection,slwm_no_spectral,0.5758290565363434,11.619995183688543,0.40105294842267275,0.625,84.65938373125995,7535.400600284977
phase_shift_detection,vanilla_transformer,0.7079090904772777,14.034157853820513,0.5302196025114672,1.125,60.72813965917928,6003.064113745792
phase_shift_detection,random_signal,1.7672153383176645,32.75940965800068,1.0677520660963018,2.875,,
phase_shift_detection,noop_signal,1.9999999999999998,1.792468422859773e-29,1.5707963267948848,0.0,,
noisy_periodic_denoising,slwm,0.22355434698077317,4.29093118638379,0.16619549231455533,0.125,93.17443928167002,6676.960312565998
noisy_periodic_denoising,slwm_no_spectral,0.394638282889428,8.803533836856555,0.1672733654281574,0.5,89.44582955898439,7642.551504302455
noisy_periodic_denoising,vanilla_transformer,0.38075455639728056,7.729636223053577,0.21121056458161924,1.0,75.27145269008541,6301.183326767742
noisy_periodic_denoising,random_signal,1.6516801701748551,29.88401978134627,1.0067597046955534,2.875,,
noisy_periodic_denoising,noop_signal,0.06868344314278617,1.544242404786859,0.055297121127476145,0.125,,
missing_span_reconstruction,slwm,0.7765652158194717,104.95147361111395,1.1362941383066216,2.0,6.033978425833051,7035.690182402476
missing_span_reconstruction,slwm_no_spectral,0.7765652158194717,47.829009038804074,1.8617488382265965,1.125,6.033978425833051,7868.014059373446
missing_span_reconstruction,vanilla_transformer,0.7193070510470854,16.655622575937397,0.6936810432321108,2.375,56.96242237741038,6307.752573877751
missing_span_reconstruction,random_signal,2.168971870807526,34.129310582535936,1.6135010860811299,5.0,,
missing_span_reconstruction,noop_signal,0.8264319408335622,4.4384281054707575,0.10312001709935266,0.0,,
long_horizon_extrapolation,slwm,0.5178061974037804,10.246219766318829,0.3492687301902729,1.125,93.09090368702796,6983.18088814709
long_horizon_extrapolation,slwm_no_spectral,0.552482185441794,9.891888248061061,0.4153274665227499,1.0,83.4611161693648,7849.807017082966
long_horizon_extrapolation,vanilla_transformer,0.5061038802374908,9.635018725201467,0.3901092864264678,0.125,67.82491119636664,6326.0136449434285
long_horizon_extrapolation,random_signal,2.22022285089464,27.82993364919904,2.136956221154438,4.375,,
long_horizon_extrapolation,noop_signal,2.318306445885502,1.4444889689245476e-29,1.6885813204602929,0.0,,
